Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51,65,82,1,15,,
Double Dragon,2600,1989,Action,Activision,0.45,0.02,0,0.01,0.47,34,87,1,99,,
Warcraft: Orcs & Humans,PC,1994,Strategy,Activision,0.89,1.08,0,0.11,2.08,55,25,2,95,,
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0,0.23,4.21,75,67,3,9,,
Blast Chamber,PS,1996,Shooter,Activision,0.05,0.04,0,0.01,0.1,3,74,2,11,,
Diablo,PC,1996,Role-Playing,Activision,0.01,1.58,0,0,1.59,94,12,8.7,850,Blizzard Entertainment,M
Nightmare Creatures,N64,1996,Action,Activision,0.21,0.05,0,0,0.26,71,74,7,99,,
Magical Tetris Challenge,N64,1997,Puzzle,Activision,0.13,0.02,0.05,0,0.2,74,88,1,83,,
MechWarrior 2: 31st Century Combat,PS,1997,Simulation,Activision,0.2,0.14,0,0.02,0.36,64,86,8,98,,
Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99,87,14,8.8,45,Acquire,M
A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0,0.01,0.63,45,88,0,30,,
A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0,0.09,1.37,34,70,3,88,,
Apocalypse,PS,1998,Action,Activision,0.25,0.17,0,0.03,0.45,96,100,2,100,,
Civilization II,PS,1998,Strategy,Activision,0.15,0.11,0,0.02,0.28,99,63,9,70,,
Guardian's Crusade,PS,1998,Role-Playing,Activision,0.07,0.05,0,0.01,0.12,68,50,4,51,,
Pitfall 3D: Beyond the Jungle,PS,1998,Platform,Activision,0.18,0.12,0,0.02,0.33,22,25,7,27,,
Quake II,PS,1998,Shooter,Activision,0.23,0.16,0,0.03,0.41,70,1,4,46,,
Shanghai: True Valor,PS,1998,Puzzle,Activision,0.01,0.01,0,0,0.02,79,89,9,54,,
StarCraft,PC,1998,Strategy,Activision,0,0.04,0,0.01,0.05,88,15,9.1,813,Blizzard Entertainment,T
T'ai Fu: Wrath of the Tiger,PS,1998,Action,Activision,0.08,0.06,0,0.01,0.15,19,72,8,87,,
Toy Story 2: Buzz Lightyear to the Rescue!,PS,1998,Platform,Activision,0.99,0.64,0,0.08,1.71,66,23,8,28,,
Vigilante 8,PS,1998,Racing,Activision,0.68,0.47,0,0.08,1.23,74,99,6,68,,
Vigilante 8,N64,1998,Racing,Activision,0.25,0.06,0,0,0.31,73,11,5,62,,
Wu-Tang: Shaolin Style,PS,1998,Fighting,Activision,0.27,0.18,0,0.03,0.48,9,94,5,77,,
A Collection of Classic Games from the Intellivision,PS,1999,Misc,Activision,0.17,0.12,0,0.02,0.31,71,71,9,67,,
Alundra 2: A New Legend Begins,PS,1999,Role-Playing,Activision,0.15,0.1,0,0.02,0.27,90,65,8,56,,
Blue Stinger,DC,1999,Adventure,Activision,0,0,0.1,0,0.1,74,27,1,68,,
Quake II,N64,1999,Shooter,Activision,0.24,0.06,0,0,0.3,65,0,1,70,,
Space Invaders,N64,1999,Shooter,Activision,0.13,0.03,0,0,0.16,45,5,1,77,,
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,Neversoft Entertainment,T
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,0.71,0.2,0,0.01,0.93,39,38,9,27,,
Vigilante 8: 2nd Offense,PS,1999,Racing,Activision,0.27,0.18,0,0.03,0.48,70,25,8,11,,
Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.35,0.24,0,0.04,0.63,54,10,5.3,4,Traveller's Tales,E
Disney's Tarzan,N64,2000,Platform,Activision,0.16,0.04,0,0,0.2,82,95,9,53,,
Disney's The Lion King: Simba's Mighty Adventure,PS,2000,Action,Activision,0.08,0.06,0,0.01,0.15,30,5,6.9,9,Paradox Development,E
Orphen: Scion of Sorcery,PS2,2000,Role-Playing,Activision,0.15,0.12,0,0.04,0.31,54,15,5.8,8,Shade,T
Spider-Man,PS,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13,87,19,9,107,Neversoft Entertainment,E
Spider-Man,N64,2000,Action,Activision,0.43,0.09,0,0.01,0.53,14,55,2,3,,
Star Trek: Invasion,PS,2000,Simulation,Activision,0.15,0.1,0,0.02,0.26,76,12,10,6,Warthog,E
Star Wars: Demolition,PS,2000,Racing,Activision,0.25,0.17,0,0.03,0.46,63,11,6.5,6,"Luxoflux, Inc.",T
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,0.32,0.22,0,0.04,0.58,77,14,8.7,32,Acquire,M
Tony Hawk's Pro Skater,N64,2000,Sports,Activision,1.68,0.4,0,0.03,2.11,50,19,5,10,,
Tony Hawk's Pro Skater,GB,2000,Sports,Activision,0.9,0.38,0.01,0.05,1.33,84,32,3,83,,
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,19,7.7,299,Neversoft Entertainment,T
Vigilante 8: 2nd Offense,N64,2000,Racing,Activision,0.09,0.02,0,0,0.11,63,5,1,73,,
Alienators: Evolution Continues,GBA,2001,Action,Activision,0.03,0.01,0,0,0.03,54,4,8,80,Digital Eclipse,E
Bomberman Tournament,GBA,2001,Puzzle,Activision,0.1,0.04,0.1,0.01,0.25,88,16,10,0,AI,E
Doom,GBA,2001,Shooter,Activision,0.1,0.04,0,0,0.14,81,24,8.5,15,David A. Palmer Productions,T
Jackie Chan Adventures: Legend of the Dark Hand,GBA,2001,Action,Activision,0.13,0.05,0,0,0.19,0,73,7,63,,
Mat Hoffman's Pro BMX,PS,2001,Sports,Activision,0.3,0.2,0,0.04,0.54,80,15,8.6,16,Shaba Games,E
Mat Hoffman's Pro BMX,GBA,2001,Sports,Activision,0.19,0.07,0,0,0.27,71,11,5,64,HotGen,E
Shaun Palmer's Pro Snowboarder,GBA,2001,Sports,Activision,0.26,0.1,0,0.01,0.36,58,7,2,91,Natsume,E
Spider-Man 2: Enter: Electro,PS,2001,Action,Activision,0.57,0.87,0.02,0.09,1.55,74,15,8.7,35,Vicarious Visions,E
Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,0.43,0.16,0,0.01,0.61,84,8,8.7,11,Vicarious Visions,E
Star Wars: Obi-Wan,XB,2001,Action,Activision,0.52,0.16,0,0.02,0.7,58,28,5.9,14,LucasArts,T
Star Wars: Starfighter,PS2,2001,Simulation,Activision,0.61,0.87,0.02,0.26,1.76,84,25,8,21,LucasArts,T
Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0,0.14,1.12,57,15,7.6,9,Exakt,E
The Weakest Link,PS,2001,Misc,Activision,0.05,0.03,0,0.01,0.09,63,7,7.2,6,"Activision, Traveller's Tales",E
Tony Hawk's Pro Skater 2,N64,2001,Sports,Activision,0.59,0.16,0,0.01,0.76,58,21,8,20,,
Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision,0.85,0.31,0,0.02,1.18,95,16,7.5,22,Vicarious Visions,E
Tony Hawk's Pro Skater 2x,XB,2001,Sports,Activision,0.41,0.19,0,0.03,0.63,78,24,8.8,5,Treyarch,T
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97,34,7.5,298,Neversoft Entertainment,T
Tony Hawk's Pro Skater 3,PS,2001,Sports,Activision,1.09,0.49,0.02,0.07,1.67,87,10,8.3,36,Shaba Games,E
Tony Hawk's Pro Skater 3,GC,2001,Sports,Activision,0.64,0.17,0,0.02,0.82,91,27,9,27,Neversoft Entertainment,T
Toy Story Racer,PS,2001,Racing,Activision,0.08,0.06,0,0.01,0.15,76,8,8.7,9,Traveller's Tales,E
World's Scariest Police Chases,PS,2001,Racing,Activision,0.2,0.14,0,0.02,0.36,54,16,6.3,4,UDS,T
X-Men: Mutant Academy 2,PS,2001,Fighting,Activision,0.4,0.27,0,0.05,0.72,72,12,8.4,18,Paradox Development,T
X-Men: Reign of Apocalypse,GBA,2001,Action,Activision,0.2,0.08,0,0.01,0.28,61,10,9,50,Digital Eclipse,E
Activision Anthology,PS2,2002,Misc,Activision,0.25,0.19,0,0.06,0.5,75,13,7.7,6,Contraband Entertainment,E
Blade II,XB,2002,Action,Activision,0.1,0.03,0,0,0.13,53,20,4,4,Mucky Foot Productions,M
Blade II,PS2,2002,Action,Activision,0.15,0.12,0,0.04,0.31,49,21,6.1,14,Mucky Foot Productions,M
Bloody Roar: Primal Fury,GC,2002,Fighting,Activision,0.14,0.04,0,0,0.18,75,27,8.5,20,Eighting/Raizing,T
Cabela's Big Game Hunter,PS2,2002,Sports,Activision,0.7,0.54,0,0.18,1.42,59,7,7.8,12,Sand Grain Studios,T
Disney's Tarzan: Return to the Jungle,GBA,2002,Action,Activision,0.25,0.09,0,0.01,0.35,68,8,9,73,Digital Eclipse,E
Doom II: Hell on Earth,GBA,2002,Shooter,Activision,0.03,0.01,0,0,0.04,20,43,6,0,,
Gungrave,PS2,2002,Shooter,Activision,0.09,0.07,0,0.02,0.19,65,28,8.6,16,Seta Corporation,M
Kelly Slater's Pro Surfer,XB,2002,Sports,Activision,0.08,0.02,0,0,0.1,80,15,8,5,Treyarch,E
Kelly Slater's Pro Surfer,PS2,2002,Sports,Activision,0.16,0.13,0,0.04,0.33,77,19,8.4,15,Treyarch,E
Kelly Slater's Pro Surfer,GC,2002,Sports,Activision,0.05,0.01,0,0,0.06,80,15,1,90,Treyarch,E
Kelly Slater's Pro Surfer,GBA,2002,Sports,Activision,0.09,0.03,0,0,0.13,72,4,7,37,HotGen,E
Lost Kingdoms,GC,2002,Role-Playing,Activision,0.1,0.02,0.04,0,0.17,72,22,8,15,From Software,T
Mat Hoffman's Pro BMX 2,XB,2002,Sports,Activision,0.15,0.04,0,0.01,0.2,75,16,10,73,Rainbow Studios,T
Mat Hoffman's Pro BMX 2,PS2,2002,Sports,Activision,0.23,0.18,0,0.06,0.46,76,22,9.1,7,Rainbow Studios,T
Mat Hoffman's Pro BMX 2,GC,2002,Sports,Activision,0.03,0.01,0,0,0.04,70,12,1,70,Rainbow Studios,T
Mat Hoffman's Pro BMX 2,GBA,2002,Sports,Activision,0.11,0.04,0,0,0.16,82,5,4,19,HotGen,E
Minority Report: Everybody Runs,XB,2002,Action,Activision,0.07,0.02,0,0,0.1,54,18,5,4,Treyarch,T
Minority Report: Everybody Runs,PS2,2002,Action,Activision,0.2,0.15,0,0.05,0.41,50,26,5,14,Treyarch,T
Minority Report: Everybody Runs,GC,2002,Action,Activision,0.08,0.02,0,0,0.1,53,19,5,58,Treyarch,T
Minority Report: Everybody Runs,GBA,2002,Action,Activision,0.03,0.01,0,0,0.04,54,8,3,59,Torus Games,T
Rally Fusion: Race of Champions,XB,2002,Racing,Activision,0.04,0.01,0,0,0.05,69,16,10,84,Climax Group,E
Rally Fusion: Race of Champions,PS2,2002,Racing,Activision,0.06,0.05,0,0.02,0.13,73,19,7,18,Climax Group,E
Space Invaders,GBA,2002,Shooter,Activision,0.08,0.03,0,0,0.11,7,74,9,51,,
Spider-Man: The Movie,XB,2002,Action,Activision,1.07,0.28,0,0.05,1.4,79,29,7.5,11,Treyarch,E
Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,76,25,7.9,41,Treyarch,E
Spider-Man: The Movie,GC,2002,Action,Activision,0.86,0.27,0.01,0.04,1.19,76,14,7.3,11,Treyarch,E
Spider-Man: The Movie,GBA,2002,Action,Activision,0.92,0.35,0.01,0.05,1.33,89,60,6,46,,
Star Wars Jedi Knight II: Jedi Outcast,GC,2002,Shooter,Activision,0.18,0.05,0,0.01,0.23,75,17,7.8,19,Vicarious Visions,T
Star Wars: Clone Wars,GC,2002,Shooter,Activision,0.31,0.08,0,0.01,0.4,74,8,6,83,,
Star Wars: Jedi Starfighter,XB,2002,Simulation,Activision,0.35,0.07,0,0.02,0.44,78,22,5.2,5,Secret Level,T
Star Wars: Jedi Starfighter,PS2,2002,Simulation,Activision,0.24,0.19,0,0.06,0.5,81,22,8.3,8,LucasArts,T
Street Hoops,XB,2002,Sports,Activision,0.21,0.06,0,0.01,0.28,58,22,8,4,Black Ops Entertainment,T
Street Hoops,PS2,2002,Sports,Activision,0.45,0.35,0,0.12,0.91,27,92,1,8,,
Stuart Little 2,GBA,2002,Platform,Activision,0.33,0.12,0,0.01,0.46,59,10,3,19,Creations,E
The Invincible Iron Man,GBA,2002,Action,Activision,0.03,0.01,0,0,0.04,68,9,10,44,Torus Games,E
Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision,0.34,0.18,0,0.02,0.55,93,22,8.4,17,Neversoft Entertainment,T
Tony Hawk's Pro Skater 3,N64,2002,Sports,Activision,0.06,0.02,0,0,0.08,14,57,8,26,,
Tony Hawk's Pro Skater 3,GBA,2002,Sports,Activision,0.37,0.14,0,0.01,0.52,90,20,8,6,Vicarious Visions,E
Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,0.59,0.3,0,0.04,0.93,90,25,8.5,21,Neversoft Entertainment,T
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67,94,27,8.5,128,Neversoft Entertainment,T
Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,0.45,0.12,0,0.02,0.58,91,19,8.6,21,Neversoft Entertainment,T
Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,0.41,0.15,0,0.01,0.57,85,13,8.8,4,Vicarious Visions,E
Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,0.42,0.11,0.02,0.02,0.57,74,36,5.2,13,Bunkasha Publishing,T
Wreckless: ThE YaKuza MisSiOns,PS2,2002,Racing,Activision,0.11,0.08,0,0.03,0.22,60,16,7,68,Stealth Studios,T
Wreckless: ThE YaKuza MisSiOns,GC,2002,Racing,Activision,0.04,0.01,0,0,0.06,58,17,7,9,Stealth Studios,T
X-Men: Next Dimension,XB,2002,Fighting,Activision,0.08,0.02,0,0,0.11,56,12,8,22,Paradox Development,T
X-Men: Next Dimension,PS2,2002,Fighting,Activision,0.23,0.18,0,0.06,0.47,61,19,8.7,13,Paradox Development,T
X-Men: Next Dimension,GC,2002,Fighting,Activision,0.1,0.03,0,0,0.13,63,17,8.2,11,Exakt,T
XXX,GBA,2002,Action,Activision,0.08,0.03,0,0,0.11,50,13,5,4,Digital Eclipse,E
Activision Anthology,GBA,2003,Misc,Activision,0.03,0.01,0,0,0.05,79,13,4,3,Aspyr,E
Blackthorne,GBA,2003,Action,Activision,0.01,0,0,0,0.01,67,10,7.6,5,Mass Media,T
Disney's Extreme Skate Adventure,XB,2003,Sports,Activision,0.08,0.02,0,0,0.11,76,15,8.3,7,Toys for Bob,E
Disney's Extreme Skate Adventure,PS2,2003,Sports,Activision,0.16,0.12,0,0.04,0.32,78,15,8.3,12,Toys for Bob,E
Disney's Extreme Skate Adventure,GC,2003,Sports,Activision,0.09,0.02,0,0,0.12,76,18,7.6,5,Toys for Bob,E
Disney's Extreme Skate Adventure,GBA,2003,Sports,Activision,0.2,0.08,0,0.01,0.28,70,6,5,51,Vicarious Visions,E
Gladius,XB,2003,Strategy,Activision,0.1,0.03,0,0,0.14,79,31,8.5,22,LucasArts,T
Gladius,PS2,2003,Strategy,Activision,0.1,0.08,0,0.03,0.2,78,27,8,22,LucasArts,T
Gladius,GC,2003,Strategy,Activision,0.06,0.01,0,0,0.07,82,19,8.8,12,LucasArts,T
Lost Kingdoms II,GC,2003,Role-Playing,Activision,0.04,0.01,0,0,0.06,68,25,9.1,14,From Software,T
Pitfall: The Lost Expedition,GBA,2003,Platform,Activision,0.05,0.02,0,0,0.07,66,13,10,71,Torus Games,E
Return to Castle Wolfenstein: Operation Resurrection,PS2,2003,Shooter,Activision,0.26,0.2,0,0.07,0.53,66,21,8,23,Raster,M
Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,0.49,0.16,0,0.02,0.67,84,38,8.8,33,Nerve Software,M
Rock 'N Roll Racing,GBA,2003,Racing,Activision,0.03,0.01,0,0,0.05,80,12,9.4,5,Mass Media,E
Soldier of Fortune II: Double Helix,XB,2003,Shooter,Activision,0.17,0.05,0,0.01,0.23,61,26,6.5,13,Gratuitous Games,M
Star Wars Jedi Knight: Jedi Academy,XB,2003,Shooter,Activision,0.34,0.1,0,0.02,0.45,76,30,8.7,30,Vicarious Visions,T
Star Wars Jedi Knight: Jedi Academy,PC,2003,Shooter,Activision,0,0.03,0,0,0.03,81,34,8.6,293,Raven Software,T
Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,Activision,1.68,0.44,0,0.08,2.19,94,72,9.2,317,BioWare,T
Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14,79,33,8.4,38,K2 LLC,M
The Lost Vikings,GBA,2003,Puzzle,Activision,0.04,0.01,0,0,0.05,75,16,9.1,15,Mass Media,E
Tony Hawk's Underground,XB,2003,Sports,Activision,0.85,0.37,0,0.05,1.27,85,33,9.1,26,Neversoft Entertainment,T
Tony Hawk's Underground,PS2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9,90,38,8.7,121,Neversoft Entertainment,T
Tony Hawk's Underground,GC,2003,Sports,Activision,0.54,0.14,0,0.02,0.7,89,19,8.5,24,Neversoft Entertainment,T
Tony Hawk's Underground,GBA,2003,Sports,Activision,0.43,0.16,0,0.01,0.6,86,9,7.7,9,Vicarious Visions,E
True Crime: Streets of LA,XB,2003,Action,Activision,0.96,0.37,0,0.05,1.38,77,39,7.8,28,"Luxoflux, Inc.",M
True Crime: Streets of LA,PS2,2003,Action,Activision,1.89,1.05,0.02,0.31,3.27,77,39,8,94,"Luxoflux, Inc.",M
True Crime: Streets of LA,GC,2003,Action,Activision,0.44,0.11,0,0.02,0.56,77,29,7.3,29,Exakt,M
Wakeboarding Unleashed Featuring Shaun Murray,XB,2003,Sports,Activision,0.04,0.01,0,0,0.05,80,23,8.8,9,Shaba Games,E
Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003,Sports,Activision,0.08,0.06,0,0.02,0.16,83,23,9,12,Shaba Games,E
Warcraft III: The Frozen Throne,PC,2003,Strategy,Activision,0.58,0.87,0,0.09,1.54,88,23,9,713,Blizzard Entertainment,T
X2: Wolverine's Revenge,XB,2003,Platform,Activision,0.15,0.04,0,0.01,0.21,58,27,6.4,9,GenePool,T
X2: Wolverine's Revenge,PS2,2003,Platform,Activision,0.31,0.24,0,0.08,0.64,58,24,7.2,13,GenePool,T
X2: Wolverine's Revenge,GC,2003,Platform,Activision,0.09,0.02,0,0,0.12,62,21,6.6,8,GenePool,T
X2: Wolverine's Revenge,GBA,2003,Platform,Activision,0.14,0.05,0,0,0.2,72,8,7.2,5,Vicarious Visions,E
Cabela's Big Game Hunter 2005 Adventures,XB,2004,Sports,Activision,0.13,0.04,0,0.01,0.18,65,5,8.3,6,FUN Labs,T
Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,0.28,0.21,0,0.07,0.56,55,4,8.4,16,Sand Grain Studios,T
Cabela's Big Game Hunter 2005 Adventures,GC,2004,Sports,Activision,0.05,0.01,0,0,0.07,48,14,8.8,9,MagicWand,T
Cabela's Big Game Hunter 2005 Adventures,GBA,2004,Sports,Activision,0.04,0.01,0,0,0.06,5,8,7,52,,
Cabela's Deer Hunt 2005 Season,XB,2004,Sports,Activision,0.09,0.02,0,0,0.11,59,5,7.5,6,Sand Grain Studios,T
Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision,0.18,0.14,0,0.05,0.37,24,98,8.7,15,Sand Grain Studios,T
Call of Duty: Finest Hour,XB,2004,Shooter,Activision,0.78,0.4,0,0.04,1.21,73,55,7.8,22,Spark Unlimited,T
Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,1.51,1.12,0.01,0.24,2.89,76,49,7.7,69,Spark Unlimited,T
Call of Duty: Finest Hour,GC,2004,Shooter,Activision,0.31,0.08,0,0.01,0.4,74,31,8.9,13,Exakt,T
Doom 3,PC,2004,Shooter,Activision,0.05,0.04,0,0.01,0.1,87,83,7.6,896,id Software,M
Greg Hastings' Tournament Paintball,XB,2004,Shooter,Activision,0.46,0.06,0,0.02,0.54,74,11,9.2,42,WXP,T
Lemony Snicket's A Series of Unfortunate Events,XB,2004,Platform,Activision,0.09,0.03,0,0,0.12,70,17,7.2,5,Activision,E
Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,Activision,0.31,0.24,0,0.08,0.64,63,25,5.7,12,Adrenium,E
Lemony Snicket's A Series of Unfortunate Events,GC,2004,Platform,Activision,0.2,0.05,0,0.01,0.26,82,54,4,62,,
Lemony Snicket's A Series of Unfortunate Events,GBA,2004,Platform,Activision,0.3,0.11,0,0.01,0.42,72,8,8,4,Griptonite Games,E
MTX Mototrax,XB,2004,Racing,Activision,0.07,0.02,0,0,0.1,79,39,3,22,Left Field Productions,E
MTX Mototrax,PS2,2004,Racing,Activision,0.13,0.1,0,0.03,0.26,77,30,8.1,9,Left Field Productions,E
Pitfall: The Lost Expedition,XB,2004,Platform,Activision,0.05,0.01,0,0,0.07,73,35,7.8,4,Edge of Reality,E
Pitfall: The Lost Expedition,PS2,2004,Platform,Activision,0.1,0.08,0,0.03,0.2,70,34,8.9,12,Edge of Reality,E
Pitfall: The Lost Expedition,GC,2004,Platform,Activision,0.06,0.02,0,0,0.08,73,25,8.6,8,Edge of Reality,E
Rome: Total War,PC,2004,Strategy,Activision,0,0.09,0,0.02,0.1,92,58,9.1,1050,Creative Assembly,T
Shark Tale,XB,2004,Action,Activision,0.15,0.04,0,0.01,0.2,67,28,3,0,Edge of Reality,E
Shark Tale,PS2,2004,Action,Activision,0.37,0.29,0,0.1,0.75,69,30,6.5,6,Edge of Reality,E
Shark Tale,GC,2004,Action,Activision,0.23,0.06,0,0.01,0.3,69,23,2,88,Edge of Reality,E
Shark Tale,GBA,2004,Action,Activision,0.49,0.18,0,0.01,0.68,63,8,9,4,Vicarious Visions,E
Shrek 2,XB,2004,Platform,Activision,0.4,0.13,0,0.02,0.55,72,31,8.4,5,"Luxoflux, Inc.",E
Shrek 2,PS2,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86,71,32,8.5,24,"Luxoflux, Inc.",E
Shrek 2,GC,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.02,70,25,6.4,14,"Luxoflux, Inc.",E
Shrek 2: Beg for Mercy,GBA,2004,Adventure,Activision,0.42,0.15,0,0.01,0.58,43,33,0,50,,
Spider-Man 2,XB,2004,Action,Activision,0.82,0.26,0,0.04,1.12,83,60,8.3,40,Treyarch,T
Spider-Man 2,PS2,2004,Action,Activision,1.75,1.2,0.02,0.43,3.41,80,50,8.9,106,Treyarch,T
Spider-Man 2,GC,2004,Action,Activision,0.65,0.17,0,0.02,0.84,80,41,8.8,30,Treyarch,T
Spider-Man 2,GBA,2004,Action,Activision,0.76,0.28,0,0.02,1.06,65,12,7.7,6,Digital Eclipse,E
Spider-Man 2,DS,2004,Action,Activision,0.41,0.02,0.03,0.04,0.49,61,46,5,6,Vicarious Visions,E
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision,0.99,0.33,0,0.05,1.37,86,67,8.6,140,Obsidian Entertainment,T
Star Wars: Battlefront,XB,2004,Shooter,Activision,1.24,0.45,0,0.07,1.75,80,55,9.1,57,Pandemic Studios,T
Tenchu: Return From Darkness,XB,2004,Action,Activision,0.16,0.05,0,0.01,0.21,70,55,7,6,K2 LLC,M
Tony Hawk's Underground 2,XB,2004,Sports,Activision,0.48,0.24,0,0.03,0.75,83,55,7.8,12,Neversoft Entertainment,T
Tony Hawk's Underground 2,PS2,2004,Sports,Activision,1.25,0.86,0.01,0.26,2.37,83,59,8.8,55,Neversoft Entertainment,T
Tony Hawk's Underground 2,GC,2004,Sports,Activision,0.38,0.1,0,0.01,0.5,82,30,8.9,17,Neversoft Entertainment,T
Tony Hawk's Underground 2,GBA,2004,Sports,Activision,0.35,0.13,0,0.01,0.49,70,4,5,88,Vicarious Visions,E
Van Helsing,PS2,2004,Action,Activision,0.22,0.17,0,0.06,0.44,64,41,8.5,19,Saffire,T
Van Helsing,GBA,2004,Action,Activision,0.07,0.03,0,0,0.1,33,11,6.3,6,Saffire,T
World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0,0,6.29,93,57,7.3,2182,Blizzard Entertainment,T
X-Men Legends,XB,2004,Role-Playing,Activision,0.62,0.24,0,0.04,0.9,82,63,8.5,14,Raven Software,T
X-Men Legends,PS2,2004,Role-Playing,Activision,1,0.72,0,0.21,1.93,79,48,8.5,69,Raven Software,T
X-Men Legends,GC,2004,Role-Playing,Activision,0.41,0.11,0,0.01,0.53,81,36,8.5,11,Raven Software,T
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,Activision,0.06,0.02,0,0,0.09,22,20,9,17,,
